ID,SMILES,Dockingscore
ZINC000097036278,O=C([O-])Cc1cc(NC(=O)c2nn(C3CCCC3)cc2)ccc1,-7.2105207
ZINC000003978031,O=C(NC1C(=O)N2C(C(=O)[O-])=C(C)CSC12)C(N)C1=CCC=CC1,-7.2068086
ZINC000006760660,O=C(NCCC(C)C)C(=O)Nc1c(C(=O)[O-])c2c(s1)CCCC2,-7.2048817
ZINC000240499976,O=C(N1CC(C(=O)[O-])(c2ccccc2)CC1)c1noc(CCC)c1,-7.2042332
ZINC000009190850,S(=O)([O-])(=Nc1c(C(=O)Nc2sc(CC)nn2)cccc1)C,-7.2009645
ZINC000018263416,S(=O)([O-])(=Nc1c(C(=O)OCc2c(OC)cccc2)cccc1)C,-7.2008443
ZINC000952852279,O=C([O-])C(CCC)n1nc(NC(=O)c2c3c(scc3)cnc2)cc1,-7.1990414
ZINC000262669272,O=C([O-])C(N(C(=O)c1cc2C(=O)N(C)C(=O)c2cc1)C1CC1)C,-7.1961031
ZINC000263060263,O=C([O-])Cn1nc(NC(=O)CCN2C(=O)COc3c2cccc3)cc1,-7.1948581
ZINC000013212344,O=C([O-])C(NC(=O)C(N)Cc1[nH]cnc1)Cc1ccc(O)cc1,-7.1922388
ZINC000268948713,O=C([O-])Cn1nc(NC(=O)C2C(c3cc4OCCOc4cc3)C2)cc1,-7.1914787
ZINC000237985977,O=C(N1C(C(=O)[O-])CC2C1CCCC2)c1cc(-n2nnnc2)ccc1,-7.1861296
ZINC000262669275,O=C([O-])C(N(C(=O)c1cc2C(=O)N(C)C(=O)c2cc1)C1CC1)C,-7.1861119
ZINC000013405391,O=C(Nc1scc(CC(=O)[O-])n1)C(Oc1ccc(C#N)cc1)C,-7.1822009
ZINC000262205606,O=C([O-])COc1cc(C(=O)N2C(c3oc(C)cc3)CCC2)ccc1,-7.1807165
ZINC000091637015,Fc1c(CNC(=O)C[NH+]2CC(C(=O)[O-])(CC3CC3)CCC2)cccc1,-7.1794243
ZINC000043772454,O=C([O-])CC=CCC1C(C=CC(O)CCCCC)OC(=O)CC1O,-7.1761875
ZINC000003841507,O=[N+]([O-])c1ccc(COC(=O)NC(C(=O)[O-])Cc2ccccc2)cc1,-7.1747208
ZINC000095519756,Clc1ccc(C(NC(=O)CCC[NH+]2CCCCC2)C(=O)[O-])cc1,-7.1733646
ZINC000263528304,O=C(N1C(C)CCC(C(=O)[O-])C1)c1cc2OCCOc2cc1,-7.1732068
ZINC000262823558,O=C([O-])Cn1nc(NC(=O)c2sc(C3OCCC3)nc2)cc1,-7.1724133
ZINC000426444626,O=C(NCCCc1nnn[n-]1)c1ccc(-c2nc(C3CC3)on2)cc1,-7.1720395
ZINC000178479585,O=C([O-])C(NC(=O)CCc1ncccc1)Cc1c2c([nH]c1)cccc2,-7.1700835
ZINC000071282142,O=C([O-])C(CC(=O)NCc1ccccc1)CN1CC[NH+](C)CCC1,-7.1689324
ZINC000299766373,O=C([O-])CC1C(c2nnn(C)c2)CN(CC(=O)NCc2occc2)C1,-7.1685634
ZINC000888093124,O=C(NCCCc1nnn[n-]1)CNC(=O)c1ccc(C(C)(C)C)cc1,-7.1677475
ZINC000005978807,O=C([O-])Cc1c(O)nc(N=NCc2ccc(OCCC)cc2)s1,-7.1667576
ZINC000192723288,O=C(Nc1c(C)n(C2CCCC2)nc1)CCCN1C(=O)N(C)CC1=O,-7.1655831
ZINC000236912067,O=C([O-])CCC1CN(C(=O)c2ccc(CCC)cc2)CCC1,-7.1628532
ZINC000262786851,O=C([O-])CC1OCCN(C(=O)c2ccc(OCC3OCCC3)cc2)C1,-7.1580801
ZINC000019594229,O=C([O-])C(N=CCC(=O)c1ccccc1)Cc1c2c([nH]c1)cccc2,-7.157763
ZINC000072277074,O=C([O-])CC(NC(=O)C1=NN(CCC)C(=O)C=C1)c1ccc(C)cc1,-7.1575503
ZINC000006268733,S(=O)([O-])(=Nc1c(C(=O)Nc2cc3OCCOc3cc2)cccc1)C,-7.155344
ZINC000001921374,S(=O)([O-])(=NNC(=O)C(=O)NNc1ccccc1)c1ccc(C)cc1,-7.1553059
ZINC000096231904,O=C([O-])C(NC(=O)CCc1onc(OC)c1)Cc1ccccc1,-7.1528659
ZINC000013843355,O=C([O-])c1c(O)ccc(NC(=O)c2ccc(NC(=O)C3CC3)cc2)c1,-7.1492691
ZINC000262823554,O=C([O-])Cn1nc(NC(=O)c2sc(C3OCCC3)nc2)cc1,-7.1479435
ZINC000263014930,O=C([O-])Cc1cc(NC(=O)c2sc(C(C)C)nc2)ccc1,-7.1464858
ZINC000299748337,O=C([O-])Cn1nc(NC(=O)CC2C(=O)Nc3c(S2)cccc3)cc1,-7.1452889
ZINC000095526653,O=C([O-])C(NC(=O)CCc1c(C)n(C)nc1C)Cc1ccccc1,-7.1428432
ZINC000583650621,O=C(CCN1C(=O)c2c(N=N1)cccc2)N1CC(C(=O)[O-])OCC1,-7.1424499
ZINC000299749204,O=C([O-])C(CNC(=O)CN1C(=O)CSC1)Cc1cc(C)ccc1,-7.1416907
ZINC000062716313,S(C)C1N(CC)C(=O)C(=CC(=O)[O-])C1C(=O)c1ccc(CC)cc1,-7.1415834
ZINC000256046881,O=C([O-])c1c(N(Cc2ccccc2)C)nn(-c2cc(OC)ccc2)n1,-7.1414385
ZINC000013259943,O=C([O-])C(NC(=O)C=Cc1ccc(CC)cc1)Cc1ccccc1,-7.1408219
ZINC000237454330,O=C(C(C)n1nc(-c2ccccc2)nn1)N1CC(C(=O)[O-])CCC1,-7.1393027
ZINC000096297004,O=C([O-])c1c(C(NC(=O)c2ncccc2)C)onc1-c1cnccc1,-7.1386547
ZINC000005420387,S(=O)(=O)(NC(C(=O)[O-])Cc1ccccc1)CCOCCCC,-7.1384692
ZINC000122822611,Fc1c(c(F)ccc1)C1C(C(=O)Nc2nn(CC(=O)[O-])cc2)C1,-7.1345448
ZINC000004854819,S(Cc1ccc(C)cc1)C=1N(N)C(=O)C(CCC(=O)[O-])=NN=1,-7.1336689
ZINC000122767749,O=C([O-])Cn1nc(NC(=O)C=2C(=O)NC3=C(C=2)CCCC3)cc1,-7.1323638
ZINC000072453690,O=C([O-])CC1N(C(=O)CCc2onc(-c3ccncc3)n2)CCOC1,-7.1305904
ZINC000001611207,O=C([O-])C(Cc1ccccc1)N1C(=O)C(Cc2ccccc2)NC1=O,-7.1296754
ZINC000004511292,O=C(NCCCN1C(=O)CC(C(=O)[O-])C1)C(=O)Nc1ccc(C)cc1,-7.1293101
ZINC000096189268,O=C([O-])c1c(-c2cncnc2)ncc2c1CC[NH+](CC1COCC1)C2,-7.1274691
ZINC000012937450,O=C(Nc1cc(C(=O)NC2CC2)ccc1)c1nn2C(C)=CC=Nc2n1,-7.1271529
ZINC000002129052,O=C([O-])C(NC(=O)CN1C(=O)c2c(N=C1)cccc2)c1ccccc1,-7.1269541
ZINC000095970685,O=C([O-])C(CNC(=O)CCC1OCCC1)Cc1ccc(C)cc1,-7.1264982
ZINC000585138050,O=C([O-])CN1C(=O)C(NC(=O)c2ccc(N)cc2)CCCC1,-7.1264129
ZINC000039957000,Clc1c(CC(NC(=O)OCc2ccccc2)C(=O)[O-])cccc1,-7.1257014
ZINC000006730987,O=C([O-])C1C(C(=O)NCCc2c(OC)cccc2)C2CCC1CC2,-7.1249208
ZINC000016696756,O=C([O-])C(NC(=O)C)Cc1c(C)cc(OCc2ccccc2)cc1C,-7.1240854
ZINC000097360052,O=C(Cc1nnn[n-]1)N1CC(O)CN(Cc2onc(C3CC3)n2)CC1,-7.1236887
ZINC000390741132,O=C(OC(C)(C)C)NC1C[NH+](C(C(=O)[O-])c2ccccc2)CC1,-7.122519
ZINC000408515032,S(CCC(NC(=O)C=1C(=O)Oc2c(cccc2)C=1)c1nnn[n-]1)C,-7.1224451
ZINC000007342240,S(C(C(=O)[O-])=Cc1cc(OC)c(OC)cc1)c1[nH]c(CCC)nn1,-7.122417
ZINC000006730986,O=C([O-])C1C(C(=O)NCCc2c(OC)cccc2)C2CCC1CC2,-7.1224117
ZINC000012508286,S(=O)([O-])(=Nc1c(C(=O)OCc2ccc(C(=O)N)cc2)cccc1)C,-7.121172
ZINC000299746965,O=C([O-])Cn1nc(NC(=O)C2CN(C(=O)C2)C2CCCC2)cc1,-7.1207433
ZINC000236640046,O=C([O-])CCC1CN(C(=O)c2sc(C(C)(C)C)nc2)CCC1,-7.1204667
ZINC000066325944,O=C(OCc1ccccc1)NC(C(=O)[O-])CCNC(=O)OCC=C,-7.1190591
ZINC000261781188,O=C(N1C(C(=O)[O-])c2c(cccc2)CC1)c1c(OC)cc(OC)cc1,-7.1186395
ZINC000100922137,O=C([O-])C(NC(=O)CCCCCCCCC)C(O)c1ccccc1,-7.1156855
ZINC000236942922,O=C([O-])Cc1nc(NC(=O)c2cn(CC)nc2)sc1,-7.1153674
ZINC000647783784,O=C([O-])Cn1nc(NC(=O)c2cc(C)c(N3CCOCC3)cc2)nc1,-7.1148615
ZINC000647701268,Fc1c(-c2onc(NC(=O)NC3CC(C(=O)[O-])CC3)c2)cccc1,-7.1148291
ZINC000014838527,O=C(NCC1OCCC1)c1cc(NC(=O)c2ccc(C)cc2)ccc1,-7.1143007
ZINC000195552042,O=C([O-])C(CN(C(=O)c1cc(-c2nc(C)sc2)oc1)C1CC1)C,-7.1105633
ZINC000390834864,O=[N+]([O-])c1c(N=NC(C(C(CC(=O)[O-])C)C)C)ccc([N+](=O)[O-])c1,-7.1092253
ZINC000236725022,O=C([O-])C(NC(=O)C1C[NH+](Cc2ccccc2)CCC1)C(C)C,-7.1084809
ZINC000097018742,O=C([O-])C(CNC(=O)CC1C=CCC1)Cc1cc(C)ccc1,-7.1081977
ZINC000095939711,O=C(N(CC(C)c1nnn[n-]1)C)c1sc2c(c1)CCCCC2,-7.1077962
ZINC000013407127,O=C([O-])Cc1nc(NC(=O)Cc2c(OC)ccc(C)c2)sc1,-7.1065207
ZINC000062714691,O=C([O-])C(NC(=O)C=Cc1cc(OC)c(OC(C)C)cc1)C(C)C,-7.1041641
ZINC000262830900,O=C(CNC(=O)c1cc(OC)ccc1)N1C(C(=O)[O-])COCC1,-7.1036973
ZINC000122979773,Fc1c(C2C(C(=O)Nc3nn(CC(=O)[O-])cc3)C2)ccc(F)c1,-7.1026917
ZINC000739285634,O=C([O-])C(NC(=O)C[NH+]1CCCCCC1)Cc1c2c([nH]c1)cccc2,-7.1023569
ZINC000630136243,O=C([O-])Cn1nc(NC(=O)C2Cn3c(C)[nH+]cc3CC2)cc1,-7.0991755
ZINC000219934136,Fc1ccc(C(=O)CCC(=O)NC(C(=O)[O-])c2cc(C)ccc2)cc1,-7.0990744
ZINC000125048212,O=C([O-])Cc1cc(NC(=O)c2c(n(C)nc2)-n2cccc2)ccc1,-7.097271
ZINC000255190780,O=C([O-])C(NC(=O)C)Cc1cc(C)c(OCc2ccccc2)cc1,-7.0972581
ZINC000095361636,O=C([O-])C([NH+]1CCN(CC(=O)NC(C)C)CC1)c1c(C)cc(C)cc1,-7.0967627
ZINC000000571578,S(=O)([O-])(=Nc1c(C(=O)Nc2ccc(OC)cc2)cccc1)C,-7.0965123
ZINC000262889401,O=C([O-])CC1N(C(=O)CCc2onc(C3CCCC3)n2)CCC1,-7.0964646
ZINC000630144628,O=C([O-])Cc1cc(NC(=O)c2cn(CC3CC3)nc2)ccc1,-7.0950708
ZINC000237961823,O=C([O-])C(NC(=O)Cc1n[nH]c2c1cccc2)Cc1ccccc1,-7.0941153
ZINC000069618256,S([O-])([O-])(=NC(=O)Cc1c2c([nH]c1)cccc2)=CC1OCCCC1,-7.0935593
ZINC000002086060,O=C([O-])C1C(C(=O)NCCCCCCCC)CCCC1,-7.0926971
ZINC000663121821,O=C([O-])C(NC(=O)Cc1cc(C)cc(C)c1)Cc1ccncc1,-7.0918417
ZINC000072410408,O=C(CCc1cn(C)nc1)N1CC2(C(=O)[O-])C(C(=O)N(CCC)C2)C1,-7.0905457
ZINC000262786850,O=C([O-])CC1OCCN(C(=O)c2ccc(OCC3OCCC3)cc2)C1,-7.0897188
ZINC000655597614,O=C([O-])C(NC(=O)Cc1[nH+]c2n(c1)CCCC2)Cc1ccncc1,-7.0895271
ZINC000237960543,O=C([O-])CCC1CN(C(=O)Cn2nnc3c2cccc3)CCC1,-7.0893478
ZINC000262977400,O=C(N1CC(C(=O)N2CC(C(=O)[O-])OCC2)CCC1)c1ccccc1,-7.0892954
ZINC000002390941,O=C(OCc1ccccc1)NC(C(=O)[O-])CCC(=O)OC(C)(C)C,-7.0892735
ZINC000190941318,O=C([O-])Cn1nc(NC(=O)c2c3n(nc2)CCCC3)cc1,-7.088192
ZINC000095425494,O=C([O-])CC1OCCN(C(=O)c2c(C)c3C(=O)CCCc3o2)C1,-7.0877414
ZINC000663121820,O=C([O-])C(NC(=O)Cc1cc(C)cc(C)c1)Cc1ccncc1,-7.0873904
ZINC000014829677,S(=O)(=O)(N1CCCC1)c1cc(NC(=O)c2ncc(C)nc2)ccc1,-7.0867739
ZINC000006880643,Clc1c(CCNC(=O)C2C(C(=O)[O-])CC=CC2)ccc(Cl)c1,-7.0864034
ZINC000237925945,O=C([O-])CCC1N(C(=O)CCN2C(=O)N3C(=N2)C=CC=C3)CCCC1,-7.0862327
ZINC000034924986,S(CCC(=O)[O-])Cc1nc(C(=O)N2CCCCCC2)on1,-7.0861168
ZINC000170047904,O=C([O-])C(NC(=O)Cc1noc2c1cccc2)Cc1ccccc1,-7.0851612
ZINC000630136243,O=C([O-])Cn1nc(NC(=O)C2Cn3c(C)[nH+]cc3CC2)cc1,-7.0844073
ZINC000630136242,O=C([O-])Cn1nc(NC(=O)C2Cn3c(C)[nH+]cc3CC2)cc1,-7.0842724
ZINC000262860713,O=C([O-])Cc1cc(NC(=O)c2cn(CCC)nc2)ccc1,-7.084012
ZINC000096343650,O=C(NCCC)CCC(=O)Nc1sc(CC(C)C)c(C(=O)[O-])n1,-7.082972
ZINC000630135422,Fc1c2c(c(CCC(=O)Nc3nn(CC(=O)[O-])cc3)cc1)CCCC2,-7.0828662
ZINC000095425557,O=C([O-])C(CNC(=O)C1(c2cc(C)ccc2)CC1)c1ccccc1,-7.0824528
ZINC000095350082,O=C([O-])C(NC(=O)C1CN(CC2CC2)C(=O)C1)Cc1ccccc1,-7.0811434
ZINC000659184272,O=C([O-])C(CCC)n1nc(NC(=O)c2cc3c(cc2)COCC3)cc1,-7.0806971
ZINC000006731636,O=C([O-])C1C(C(=O)NCCCN2C(=O)CCC2)C2CC1CC2,-7.0790124
ZINC000001530596,O=C(NC1C(=O)N2C(C(=O)[O-])=C(C)CSC12)C(N)c1ccccc1,-7.077177
ZINC000000399541,O=C([O-])C(NC(=O)C)Cc1ccc(OCc2ccccc2)cc1,-7.0767727
ZINC000263464903,O=C([O-])C(N(C(=O)C1Oc2c(OC1)cccc2)C)Cc1ccccc1,-7.0764732
ZINC000005010516,O=C([O-])CNC(=O)C1C(O)C(O)C(n2c3ncnc(N)c3nc2)O1,-7.0764499
ZINC000095976968,O=C(N1CC(c2nnn[n-]2)CCC1)c1[nH]c2c(c(C)c(C)cc2)c1,-7.0761304
ZINC000225115613,O=C([O-])C(Oc1ccc(OC)cc1)Cc1c(OC)ccc(OC)c1,-7.0751147
ZINC000299739757,S(=O)(=O)(C)N1C(C)Cc2c1ccc(C(=O)NC(C(=O)[O-])C)c2,-7.0744195
ZINC000581775894,O=C(N1C(c2[nH]c(C3CC3)nn2)CCCC1)c1cc(C)ccc1,-7.0739832
ZINC000013733353,O=C([O-])CN1C(=O)N(C)c2nc3N(CC=C)C(C)=Cn3c2C1=O,-7.0731854
ZINC000202066378,S(=O)(=O)(N1CCN(C(C(=O)[O-])C)CC1)c1ccc(OC)cc1,-7.0718517
ZINC000000152813,O=C([O-])CC(CC(=O)Nc1ccc(NC(=O)C)cc1)c1ccccc1,-7.0714536
ZINC000195542641,O=C([O-])C(NC(=O)CCn1ncc(C)c1)Cc1ccccc1,-7.0713902
ZINC000256048669,O=C([O-])c1c(N(CCC)CCC)nn(-c2ccc(OCC)cc2)n1,-7.0712018
ZINC000005025704,S(C(C(=O)[O-])=Cc1c(OC)ccc2c1cccc2)c1[nH]c(C)nn1,-7.0700502
ZINC000095392393,Clc1ccc(C(CNC(=O)c2n[nH]c(CCC)c2)CC(=O)[O-])cc1,-7.0691695
ZINC000110689177,O=C(N1C(C(=O)[O-])CC2C1CCCC2)c1cc(-n2nccc2)ccc1,-7.068573
ZINC000064876078,FC(F)Oc1cc(C(=O)NC(C(=O)[O-])Cc2ccccc2)ccc1,-7.0680151
ZINC000001714256,O=C(OCc1ccccc1)NC(C(=O)[O-])Cc1ccc(OC)cc1,-7.0679531
ZINC000824609397,O=C([O-])C1OCCN(Cc2cc(OC)c(OCC=C(C)C)cc2)C1,-7.0674286
ZINC000096297000,O=C([O-])c1c(C(NC(=O)c2n(C)ccc2)C)onc1-c1cnccc1,-7.0653205
ZINC000299752389,O=C([O-])CC1OCCN(C(=O)c2cnc(OCC)cc2)C1,-7.0641012
ZINC000193100876,Fc1cc2c(OC(C(=O)NCC(C(=O)[O-])(C)c3ccccc3)C2)cc1,-7.0639024
ZINC000217566628,S(=O)(=O)(NC(C)(C)C)c1cc(C(=O)[O-])c(NC(CCC)C)cc1,-7.0630116
ZINC000952852278,O=C([O-])C(CCC)n1nc(NC(=O)c2c3c(scc3)cnc2)cc1,-7.0630007
ZINC000006779041,O=C([O-])CC1C(=O)NC(=NN=C(C)c2ccc(OCCC)cc2)S1,-7.0627775
ZINC000262074919,O=C([O-])C(CNC(=O)C1=NN(C)C(=O)C=C1)Cc1c(OC)cccc1,-7.062531
ZINC000000129843,O=C([O-])C1C(C(=O)NCCc2cc(OC)c(OC)cc2)CCCC1,-7.0619893
ZINC000057192043,O=C(NCC)c1cc(NC(=O)c2cnc(NC3CC3)cc2)ccc1,-7.0613852
ZINC000206412284,O=C([O-])C(NC(=O)Cn1c(C)cc2c1cccc2)Cc1ccccc1,-7.0605502
ZINC000262817589,O=C([O-])C(C)c1cc(NC(=O)C2CN(C(=O)C2)C2CCCC2)ccc1,-7.0605345
ZINC000000540215,O=C(NC(C(=O)[O-])Cc1ccccc1)Nc1ccc(C(=O)C)cc1,-7.0600815
ZINC000659205200,O=C([O-])C(C)(C)n1nc(NC(=O)c2noc3c2CCCC3)cc1,-7.0599432
