ZincID,Smiles,S
ZINC000299753022,O=C([O-])CCN(C(=O)c1n[nH]c(CC)c1)CC1OCCC1,-7.518
ZINC000004061455,O=C([O-])C(NC(=O)CC=1C(=O)Oc2c(C=1C)ccc(OC)c2)CCC,-7.515
ZINC000223220517,O=C([O-])C(NC(=O)COc1ccc(-c2nn(C)nn2)cc1)C(CC)C,-7.513
ZINC000097716698,O=C([O-])Cn1c(CC2Cc3c(cccc3)C2)nc(C2COCC2)n1,-7.512
ZINC000095506841,O=C(NC1(C(=O)[O-])c2c(cccc2)CCC1)c1c(C)n(CCC)nc1,-7.509
ZINC000067723870,O=C([O-])c1nn(CCO)c2c1CN(C(=O)c1c(C)cco1)CC2,-7.505
ZINC000005461455,O=C(OCc1ccccc1)NC(C(=O)NC(C(=O)[O-])C(CC)C)C,-7.502
ZINC000085397400,O=C([O-])Cc1c(-c2c(C)cc(OC)cc2)nc(NC(=O)CCC)s1,-7.501
ZINC000299803933,O(C(C)(C)C)C(=O)N1CC(C(=O)[O-])N(C(=O)c2cc(C)ccc2)CC1,-7.500
ZINC000097117012,O=C(N1CC(C(=O)[O-])CN(Cc2sc(C)cc2)CC1)c1cocc1,-7.498
ZINC000091950958,O=C(N1CC(C(=O)[O-])C(c2cc(OC)ccc2)C1)c1n(C)ccc1,-7.498
ZINC000252488415,O=C([O-])CC(NC(=O)CCn1c(C)[nH+]c2c1cccc2)CC(C)C,-7.498
ZINC000095350083,O=C([O-])C(NC(=O)C1CN(CC2CC2)C(=O)C1)Cc1ccccc1,-7.497
ZINC000299789669,O=C([O-])CC1C(c2nnn(C)c2)CN(C(=O)CCN2C(=O)CCC2)C1,-7.494
ZINC000108028884,O=[N+]([O-])c1c(C=Cc2c(OCC(=O)[O-])c(OCC)ccc2)onc1C,-7.493
ZINC000001707444,O=C(OCc1ccccc1)NCC(=O)NC(C(=O)[O-])Cc1[nH]cnc1,-7.493
ZINC000013260757,O=C(N1CC(C(=O)[O-])CCC1)c1cc(CN2C(=O)CCC2)ccc1,-7.492
ZINC000237719324,O=C([O-])CCN(C(=O)CCc1c(C)cccc1)CC1OCCC1,-7.492
ZINC000299794571,O=C([O-])CC1C(c2nnn(C)c2)C[NH+](CCC(=O)NCC=C)C1,-7.490
ZINC000097941854,O=C([O-])C1C(C(=O)NCCCCCCCCCCC)C2OC1C=C2,-7.488
ZINC000095361680,O=C([O-])CCc1c(C)[nH+]c(N)nc1N1CC(c2[nH]c(C)nn2)CCC1,-7.488
ZINC000000037262,O=[N+]([O-])c1cc(C(NC(=O)c2cc(C)c(C)cc2)CC(=O)[O-])ccc1,-7.488
ZINC000012358995,O=C(OCc1ccccc1)NC(C(=O)[O-])CCOC(=O)C(C)(C)C,-7.486
ZINC000085397430,O=C([O-])Cc1c(-c2cc(C)c(OCC)cc2)nc(NC(=O)CC)s1,-7.486
ZINC000002539202,O=C(OC(C)(C)C)NC(C(=O)OCc1ccccc1)CCC(=O)[O-],-7.484
ZINC000299777782,O=C([O-])CC1C(c2nnn(C)c2)CN(C(=O)CCN2OCCC2)C1,-7.480
ZINC000299781715,O=C([O-])CC1C(c2nnn(C)c2)CN(C(=O)c2[nH]c(CC)cc2)C1,-7.479
ZINC000096131381,O=C(N(C)C)N1CC2(C(=O)[O-])C(C1)CN(Cc1n(C)c(C)c(C)[nH+]1)C2,-7.479
ZINC000072166376,O=C(N1CC(C(=O)[O-])CC(C(=O)NC2CC2)C1)c1n[nH]c(C2CC2)c1,-7.476
ZINC000257273487,O=C(C)N1CCC(Cc2ncc(-c3cc(C(=O)[O-])ccc3)nc2)CC1,-7.473
ZINC000067447305,O=C([O-])c1nn(CC=C)c2c1CC([NH+](Cc1c(C)non1)C)CC2,-7.471
ZINC000573934004,O=C([O-])CCN(C(=O)c1c2OCC(C)(C)c2ccc1)CC1OCCC1,-7.471
ZINC000262675488,O=C(N1CC(C(=O)N2C(C(=O)[O-])CCCC2)CCC1)c1ccncc1,-7.469
ZINC000011693962,O=C([O-])Cn1c(N2CC(C)CC(C)C2)nc2N(C)C(=O)N(C)C(=O)c12,-7.468
ZINC000097360081,O=C([O-])Cn1c(C2CN(Cc3ccncc3)C(=O)C2)nc(C(C)C)n1,-7.465
ZINC000536954258,O=C(OCc1ccccc1)NCCC(COCC=C)CC(=O)[O-],-7.464
ZINC000256048011,O=C([O-])c1c(N2Cc3c(cccc3)CC2)nn(-c2cc(C)ccc2)n1,-7.463
ZINC000373040983,O=C([O-])Cn1nc(NC(=O)C2CN(Cc3ncccc3)C(=O)C2)cc1,-7.462
ZINC000007342240,S(C(C(=O)[O-])=Cc1cc(OC)c(OC)cc1)c1[nH]c(CCC)nn1,-7.462
ZINC000426496667,O=C(N(Cc1n(CCC)cnn1)C)NC(C(=O)[O-])c1ccc(O)cc1,-7.462
ZINC000261846102,O=C([O-])CCC1CN(C(=O)CN2C(=O)CCCCC2)CCC1,-7.461
ZINC000007342294,S(C(C(=O)[O-])=Cc1c2c(n(C)c1)cccc2)c1[nH]c(CCC)nn1,-7.461
ZINC000011693960,O=C([O-])Cn1c(N2CC(C)CC(C)C2)nc2N(C)C(=O)N(C)C(=O)c12,-7.460
ZINC000001640323,O=C(OCc1ccccc1)NC(C(=O)NC(C(=O)[O-])CCCC)C,-7.459
ZINC000426506888,S(CC(=O)N1CC(CCC(=O)[O-])CCC1)CC1CC1,-7.458
ZINC000004743777,O=C([O-])CC(NC(=O)c1cc(OC)ccc1)c1cc2OCOc2cc1,-7.458
ZINC000095370082,O=C([O-])C([NH+](CC(C)C)C)c1cc(C(=O)N2CCC(C)CC2)ccc1,-7.457
ZINC000426439046,O=C([O-])C=1C(=O)C(C(=O)NCC(O)CC)=CN(C(C)C)C=1,-7.457
ZINC000004713965,O=C(Nc1ccc(OC)cc1)C(CC(=O)[O-])Cc1ccc(C)cc1,-7.456
ZINC000095510822,O=C([O-])C(NC(=O)C1CCN(C(=O)C2CCC2)CC1)Cc1occc1,-7.456
ZINC000097745208,O=C([O-])Cn1c(-c2cn(-c3ccccc3)nc2)nc(C2COCC2)n1,-7.456
