Dockingscore,SMILES
-7.08,O=C(NC1C(=O)N2C(C(=O)[O-])=C(C)CSC12)C(N)c1ccccc1
-7.08,O=C([O-])C(NC(=O)C)Cc1ccc(OCc2ccccc2)cc1
-7.08,O=C([O-])C(N(C(=O)C1Oc2c(OC1)cccc2)C)Cc1ccccc1
-7.08,O=C([O-])CNC(=O)C1C(O)C(O)C(n2c3ncnc(N)c3nc2)O1
-7.08,O=C(N1CC(c2nnn[n-]2)CCC1)c1[nH]c2c(c(C)c(C)cc2)c1
-7.08,O=C([O-])C(Oc1ccc(OC)cc1)Cc1c(OC)ccc(OC)c1
-7.07,S(=O)(=O)(C)N1C(C)Cc2c1ccc(C(=O)NC(C(=O)[O-])C)c2
-7.07,O=C(N1C(c2[nH]c(C3CC3)nn2)CCCC1)c1cc(C)ccc1
-7.07,O=C([O-])CN1C(=O)N(C)c2nc3N(CC=C)C(C)=Cn3c2C1=O
-7.07,S(=O)(=O)(N1CCN(C(C(=O)[O-])C)CC1)c1ccc(OC)cc1
-7.07,O=C([O-])CC(CC(=O)Nc1ccc(NC(=O)C)cc1)c1ccccc1
-7.07,O=C([O-])C(NC(=O)CCn1ncc(C)c1)Cc1ccccc1
-7.07,O=C([O-])c1c(N(CCC)CCC)nn(-c2ccc(OCC)cc2)n1
-7.07,S(C(C(=O)[O-])=Cc1c(OC)ccc2c1cccc2)c1[nH]c(C)nn1
-7.07,Clc1ccc(C(CNC(=O)c2n[nH]c(CCC)c2)CC(=O)[O-])cc1
-7.07,O=C(N1C(C(=O)[O-])CC2C1CCCC2)c1cc(-n2nccc2)ccc1
-7.07,FC(F)Oc1cc(C(=O)NC(C(=O)[O-])Cc2ccccc2)ccc1
-7.07,O=C(OCc1ccccc1)NC(C(=O)[O-])Cc1ccc(OC)cc1
-7.07,O=C([O-])C1OCCN(Cc2cc(OC)c(OCC=C(C)C)cc2)C1
-7.07,O=C([O-])c1c(C(NC(=O)c2n(C)ccc2)C)onc1-c1cnccc1
-7.06,O=C([O-])CC1OCCN(C(=O)c2cnc(OCC)cc2)C1
-7.06,Fc1cc2c(OC(C(=O)NCC(C(=O)[O-])(C)c3ccccc3)C2)cc1
-7.06,S(=O)(=O)(NC(C)(C)C)c1cc(C(=O)[O-])c(NC(CCC)C)cc1
-7.06,O=C([O-])C(CCC)n1nc(NC(=O)c2c3c(scc3)cnc2)cc1
-7.06,O=C([O-])CC1C(=O)NC(=NN=C(C)c2ccc(OCCC)cc2)S1
-7.06,O=C([O-])C(CNC(=O)C1=NN(C)C(=O)C=C1)Cc1c(OC)cccc1
-7.06,O=C([O-])C1C(C(=O)NCCc2cc(OC)c(OC)cc2)CCCC1
-7.06,O=C(NCC)c1cc(NC(=O)c2cnc(NC3CC3)cc2)ccc1
-7.06,O=C([O-])C(NC(=O)Cn1c(C)cc2c1cccc2)Cc1ccccc1
-7.06,O=C([O-])C(C)c1cc(NC(=O)C2CN(C(=O)C2)C2CCCC2)ccc1
-7.06,O=C(NC(C(=O)[O-])Cc1ccccc1)Nc1ccc(C(=O)C)cc1
-7.06,O=C([O-])C(C)(C)n1nc(NC(=O)c2noc3c2CCCC3)cc1
-7.06,O=C([O-])C(NC(=O)C1Oc2c(OC1)cccc2)Cc1ccccc1
-7.06,O=C(OCc1ccccc1)NC(C(=O)[O-])Cc1c(C)cccc1
-7.06,S(CC(=O)[O-])C1C(=O)N(c2ccc(OCCC)cc2)C(=O)C1
-7.06,O=C([O-])Cc1[nH]c(C(NC(=O)CCc2n[nH]c3c2CCCC3)C)nn1
-7.06,O=C(Nc1sc2c(C(C(=O)[O-])CCC2)n1)c1cc2OCOc2cc1
-7.06,O=C(Nc1sc2c(C(C(=O)[O-])CCC2)n1)c1cc2OCOc2cc1
-7.06,O=C([O-])C(NC(=O)C1CCC(C(C)C)CC1)Cc1ccccc1
-7.06,O=C(N(CC(C)c1nnn[n-]1)C)c1onc(-c2ccccc2)c1
-7.06,S(C(=O)NC(C(=O)[O-])Cc1ccc(O)cc1)Cc1ccccc1
-7.06,S(=O)(=O)(NC(C(=O)[O-])Cc1ccncc1)Cc1cc(C)c(C)cc1
-7.05,S(C(C(=O)[O-])=Cc1cc(OC)c(O)cc1)c1[nH]c(CCC)nn1
-7.05,O=C(CCCN1C(=O)CCc2c1cccc2)N1C(C(=O)[O-])CCC1
-7.05,O=C([O-])Cc1nc(NC(=O)c2cc(OC)c(OC)cc2)sc1
-7.05,O=C(N(CC(C)c1nnn[n-]1)C)c1sc2c(c1)CCCCC2
-7.05,O=C([O-])COc1cc(C(=O)N2C(CC)C[NH+]3C(C2)CCCC3)ccc1
-7.05,O=C(CCCn1ncnc1)N1CC(C(=O)[O-])C(c2c(C)cccc2)C1
-7.05,O=C(N1CC2(C(=O)[O-])C(C(=O)N(CC=C)C2)C1)c1noc(C2CC2)c1
-7.05,O=C([O-])c1c(C(=O)N2CC(c3c(C)cccc3)OCC2)n(C)nc1
